FL_mm,Weight_g,Date
175,75,8/27/2025
170,70,8/27/2025
168,65,8/27/2025
165,65,8/27/2025
178,85,8/27/2025
166,65,8/27/2025
180,85,8/27/2025
155,55,8/27/2025
174,70,8/27/2025
155,60,8/27/2025
174,75,8/27/2025
138,40,8/27/2025
110,15,8/27/2025
175,80,8/27/2025
155,50,8/27/2025
175,75,8/27/2025
175,70,8/27/2025
165,65,8/27/2025
165,60,8/27/2025
160,55,8/27/2025
160,60,8/27/2025
155,55,8/27/2025
165,65,8/27/2025
150,45,8/27/2025
165,60,8/27/2025
170,75,8/27/2025
160,55,8/27/2025
160,60,8/27/2025
175,70,8/27/2025
165,65,8/27/2025
155,55,8/27/2025
170,70,8/27/2025
180,85,8/27/2025
160,55,8/27/2025
150,50,8/27/2025
160,60,8/27/2025
170,60,8/27/2025
160,60,8/27/2025
170,65,8/27/2025
170,70,8/27/2025
150,50,8/27/2025
170,70,8/27/2025
150,50,8/27/2025
175,75,8/27/2025
170,70,8/27/2025
170,65,8/27/2025
150,45,8/27/2025
160,65,8/27/2025
165,60,8/27/2025
165,55,8/27/2025
230,180,11/18/2025
220,150,11/18/2025
240,215,11/18/2025
240,195,11/18/2025
245,205,11/18/2025
250,215,11/18/2025
210,150,11/18/2025
230,170,11/18/2025
260,250,11/18/2025
250,225,11/18/2025
245,210,11/18/2025
250,245,11/18/2025
245,210,11/18/2025
230,155,11/18/2025
250,205,11/18/2025
240,210,11/18/2025
240,195,11/18/2025
260,260,11/18/2025
240,175,11/18/2025
235,185,11/18/2025
230,190,11/18/2025
240,205,11/18/2025
260,245,11/18/2025
255,225,11/18/2025
275,330,11/18/2025
235,185,11/18/2025
220,165,11/18/2025
245,205,11/18/2025
